Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
830000,1.3244004,2.1479723,118.19607843137256,4.702959823608398,4.702959823608398,1.0
840000,1.3239768,2.1542184,122.7125,4.691806084662676,4.691806084662676,1.0
850000,1.3232684,2.1875973,115.93103448275862,4.685914603823965,4.685914603823965,1.0
860000,1.322575,2.2005236,119.48148148148148,4.68732699347131,4.68732699347131,1.0
870000,1.3224853,2.1749666,115.875,4.708861895676317,4.708861895676317,1.0
880000,1.322438,2.1822362,118.14634146341463,4.703096215265343,4.703096215265343,1.0
890000,1.321628,2.1698053,117.4235294117647,4.691868873579161,4.691868873579161,1.0
900000,1.3202798,2.1470535,114.3529411764706,4.713714948920316,4.713714948920316,1.0
910000,1.3192894,2.1736276,117.95348837209302,4.703425142956876,4.703425142956876,1.0
920000,1.3190888,2.1773353,116.84705882352941,4.706605725428638,4.706605725428638,1.0
930000,1.3187081,2.1987066,115.25,4.698358709671918,4.698358709671918,1.0
940000,1.3183684,2.1798348,115.82758620689656,4.69712769222814,4.69712769222814,1.0
950000,1.3189918,2.1567879,115.33720930232558,4.710350373695636,4.710350373695636,1.0
960000,1.3193762,2.1551275,118.47619047619048,4.701819063669228,4.701819063669228,1.0
970000,1.3188772,2.166712,119.45238095238095,4.700464119513829,4.700464119513829,1.0
980000,1.3176174,2.1607459,113.26136363636364,4.70379199740592,4.70379199740592,1.0
990000,1.3173145,2.1542604,113.25882352941177,4.715323372448192,4.715323372448192,1.0
1000000,1.3173573,2.1663544,112.46067415730337,4.7061683937404934,4.7061683937404934,1.0
1010000,1.3177122,2.15034,110.33707865168539,4.711370643605007,4.711370643605007,1.0
1020000,1.3180965,2.184382,110.84615384615384,4.721406416742356,4.721406416742356,1.0
1030000,1.3178298,2.176195,113.63953488372093,4.702744013348291,4.702744013348291,1.0
1040000,1.3169768,2.212355,111.07865168539325,4.709550378027926,4.709550378027926,1.0
1050000,1.3154167,2.2137306,113.24705882352941,4.71534102453905,4.71534102453905,1.0
1060000,1.3155073,2.2300253,112.29347826086956,4.718249814377891,4.718249814377891,1.0
1070000,1.3152224,2.2448394,111.91208791208791,4.719005441003375,4.719005441003375,1.0
1080000,1.3147476,2.2613456,109.80952380952381,4.722861889450029,4.722861889450029,1.0
1090000,1.3144838,2.2775319,110.27173913043478,4.722664668009831,4.722664668009831,1.0
1100000,1.3135892,2.2588804,112.06666666666666,4.718637180852366,4.718637180852366,1.0
1110000,1.3129612,2.257878,115.6547619047619,4.69754153915814,4.69754153915814,1.0
1120000,1.3114259,2.219536,111.96511627906976,4.718022781541978,4.718022781541978,1.0
1130000,1.3112698,2.2510052,112.1,4.718216516574224,4.718216516574224,1.0
1140000,1.3119942,2.2109509,113.23255813953489,4.71537774108177,4.71537774108177,1.0
1150000,1.3123266,2.211134,108.27173913043478,4.727935305846635,4.727935305846635,1.0
1160000,1.3115324,2.2243724,110.4,4.72279197714302,4.72279197714302,1.0
1170000,1.310838,2.2280734,109.58241758241758,4.723730654506893,4.723730654506893,1.0
1180000,1.3107889,2.2352943,108.7,4.727384461806371,4.727384461806371,1.0
1190000,1.310971,2.2647238,109.58241758241758,4.714659167515053,4.714659167515053,1.0
1200000,1.3113286,2.2382517,111.74712643678161,4.71884464121413,4.71884464121413,1.0
1210000,1.3109838,2.256797,109.08791208791209,4.72551069441049,4.72551069441049,1.0
1220000,1.310353,2.2629337,109.20430107526882,4.714666503091013,4.714666503091013,1.0
1230000,1.3098861,2.258618,107.4065934065934,4.729799843496746,4.729799843496746,1.0
1240000,1.3093431,2.261604,110.6923076923077,4.7219835221767426,4.7219835221767426,1.0
1250000,1.3087325,2.2517118,109.79545454545455,4.723534319592618,4.723534319592618,1.0
1260000,1.3079517,2.2325327,108.08791208791209,4.72858585913976,4.72858585913976,1.0
1270000,1.3073071,2.2082942,109.84782608695652,4.723809615425441,4.723809615425441,1.0
1280000,1.3066286,2.214153,108.0,4.7286571960770685,4.7286571960770685,1.0
1290000,1.3057593,2.2316003,109.35955056179775,4.724599856966072,4.724599856966072,1.0
1300000,1.305424,2.221292,109.22340425531915,4.714037448488256,4.714037448488256,1.0
1310000,1.3056613,2.235205,109.53932584269663,4.725388746129142,4.725388746129142,1.0
1320000,1.3062704,2.2340062,108.33333333333333,4.727274576386253,4.727274576386253,1.0
1330000,1.3070555,2.2360969,106.25806451612904,4.72205896980019,4.72205896980019,1.0
1340000,1.3077288,2.248317,109.97872340425532,4.723838545301909,4.723838545301909,1.0
1350000,1.307735,2.241713,106.6923076923077,4.731714140582871,4.731714140582871,1.0
1360000,1.3077751,2.238767,108.70454545454545,4.726672053337097,4.726672053337097,1.0
1370000,1.3075608,2.2306013,107.59574468085107,4.7189147028517215,4.7189147028517215,1.0
1380000,1.3072683,2.2144911,109.96703296703296,4.71296649840143,4.71296649840143,1.0
1390000,1.3069186,2.270435,106.78260869565217,4.730935359513888,4.730935359513888,1.0
1400000,1.3069172,2.2595549,107.72527472527473,4.729142692717877,4.729142692717877,1.0
1410000,1.3072805,2.2548444,107.97849462365592,4.728434592485428,4.728434592485428,1.0
1420000,1.3072503,2.233303,106.45161290322581,4.732462990911383,4.732462990911383,1.0
1430000,1.3067901,2.242962,107.72826086956522,4.717818499921442,4.717818499921442,1.0
1440000,1.3062197,2.2207692,106.73913043478261,4.73147811708243,4.73147811708243,1.0
1450000,1.3069092,2.2454464,106.73118279569893,4.732714840801814,4.732714840801814,1.0
1460000,1.3064663,2.2416039,107.01123595505618,4.73057130928878,4.73057130928878,1.0
1470000,1.3059676,2.2425625,106.1063829787234,4.733329640423998,4.733329640423998,1.0
1480000,1.3057166,2.2595215,109.63636363636364,4.7243350500410255,4.7243350500410255,1.0
1490000,1.3057542,2.256798,108.06521739130434,4.728048234857539,4.728048234857539,1.0
1500000,1.3055627,2.2328026,111.63736263736264,4.719472319215209,4.719472319215209,1.0
1510000,1.3050045,2.2437317,105.78494623655914,4.733935341399203,4.733935341399203,1.0
1520000,1.3047062,2.2577295,106.10309278350516,4.733421713113785,4.733421713113785,1.0
1530000,1.30484,2.259968,104.34065934065934,4.737255325783854,4.737255325783854,1.0
1540000,1.3048081,2.2697608,104.83157894736843,4.726368272304535,4.726368272304535,1.0
1550000,1.3046354,2.2681015,105.90217391304348,4.733081352451573,4.733081352451573,1.0
1560000,1.3040965,2.2724187,106.34444444444445,4.73292842736611,4.73292842736611,1.0
