Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,78.75,2.3717027,-0.9672131147540983,-0.9672131147540983,1.0
20000,1.4204848,77.14173228346456,2.4676263,-0.921875,-0.921875,1.0
30000,1.4220468,78.592,2.4881566,-0.9761904761904762,-0.9761904761904762,1.0
40000,1.4222298,70.37857142857143,2.6869144,-0.9571428571428572,-0.9571428571428572,1.0
50000,1.4246346,66.66666666666667,2.642679,-0.94,-0.94,1.0
60000,1.4259024,64.64473684210526,2.5720954,-0.9342105263157895,-0.9342105263157895,1.0
70000,1.4277558,62.7515923566879,2.662731,-0.9745222929936306,-0.9745222929936306,1.0
80000,1.4303197,65.63013698630137,2.2779481,-0.9795918367346939,-0.9795918367346939,1.0
90000,1.4321008,65.03846153846153,2.2574985,-0.9483870967741935,-0.9483870967741935,1.0
100000,1.4335781,63.174193548387095,2.330075,-0.9487179487179487,-0.9487179487179487,1.0
110000,1.4349993,69.00704225352112,2.1610084,-0.9436619718309859,-0.9436619718309859,1.0
120000,1.4362072,67.32638888888889,1.9055789,-0.9652777777777778,-0.9652777777777778,1.0
130000,1.4386498,64.27631578947368,1.9048834,-0.9805194805194806,-0.9805194805194806,1.0
140000,1.442121,66.43055555555556,1.5705463,-0.9241379310344827,-0.9241379310344827,1.0
150000,1.4440651,74.61940298507463,1.4281204,-0.8805970149253731,-0.8805970149253731,1.0
160000,1.4455509,70.73134328358209,1.2487776,-0.9477611940298507,-0.9477611940298507,1.0
170000,1.4464076,75.7063492063492,1.0755444,-0.928,-0.928,1.0
180000,1.4464291,94.6063829787234,0.9164512,-0.9468085106382979,-0.9468085106382979,1.0
190000,1.4473761,108.31147540983606,0.81411874,-0.9193548387096774,-0.9193548387096774,1.0
200000,1.4478589,99.08823529411765,0.75170773,-1.0,-1.0,1.0
210000,1.4465445,234.95,0.74108917,-1.0,-1.0,1.0
220000,1.4449356,391.5,0.7357418,-1.0,-1.0,1.0
230000,1.44302,898.5,0.6361087,-1.0,-1.0,1.0
240000,1.4397359,None,0.57274306,None,None,1.0
250000,1.4342974,None,0.49862546,None,None,1.0
260000,1.428762,None,0.44954252,None,None,1.0
270000,1.4245565,None,0.40365002,None,None,1.0
280000,1.4214567,None,0.35830027,None,None,1.0
290000,1.4197493,None,0.32480404,None,None,1.0
300000,1.4162208,None,0.2936454,None,None,1.0
310000,1.4121885,None,0.26593825,None,None,1.0
320000,1.4093087,None,0.24141933,None,None,1.0
330000,1.4053881,None,0.21917987,None,None,1.0
340000,1.4013568,None,0.20041096,None,None,1.0
350000,1.395277,None,0.18175857,None,None,1.0
360000,1.3916576,None,0.16395302,None,None,1.0
370000,1.3890609,None,0.14828533,None,None,1.0
380000,1.3870138,None,0.13318436,None,None,1.0
390000,1.3841012,None,0.11876324,None,None,1.0
400000,1.3794816,None,0.10370754,None,None,1.0
410000,1.375254,None,0.091163024,None,None,1.0
420000,1.3721881,None,0.07819964,None,None,1.0
430000,1.369231,None,0.06604135,None,None,1.0
440000,1.3654841,None,0.058483507,None,None,1.0
450000,1.3613517,None,0.050564457,None,None,1.0
460000,1.3576789,None,0.044363793,None,None,1.0
470000,1.3548152,None,0.038483042,None,None,1.0
480000,1.3517734,None,0.03366148,None,None,1.0
490000,1.348754,None,0.029540123,None,None,1.0
500000,1.3460767,None,0.025099555,None,None,1.0
510000,1.3428395,None,0.022403467,None,None,1.0
520000,1.3392203,None,0.020113295,None,None,1.0
530000,1.3356425,None,0.018135324,None,None,1.0
540000,1.3317014,None,0.016000524,None,None,1.0
550000,1.327606,None,0.015069844,None,None,1.0
560000,1.3235542,None,0.013180812,None,None,1.0
570000,1.3196111,None,0.01110677,None,None,1.0
580000,1.3156191,None,0.009727712,None,None,1.0
590000,1.3119873,None,0.009182395,None,None,1.0
600000,1.3084843,None,0.007728584,None,None,1.0
610000,1.304156,None,0.0074969917,None,None,1.0
620000,1.3001179,None,0.0070432974,None,None,1.0
630000,1.2968084,None,0.007199681,None,None,1.0
640000,1.2941686,None,0.004953278,None,None,1.0
650000,1.2891389,None,0.0048214784,None,None,1.0
660000,1.2858044,None,0.0036838306,None,None,1.0
670000,1.2839309,None,0.004643564,None,None,1.0
680000,1.2809452,None,0.0034637405,None,None,1.0
690000,1.2768477,None,0.003383734,None,None,1.0
700000,1.2748082,None,0.0028414142,None,None,1.0
710000,1.2717849,None,0.0020127583,None,None,1.0
720000,1.2691503,None,0.0029500166,None,None,1.0
730000,1.2662281,None,0.002400112,None,None,1.0
740000,1.2629459,None,0.0031460675,None,None,1.0
750000,1.2591491,None,0.0030028045,None,None,1.0
760000,1.2565761,None,0.003948104,None,None,1.0
770000,1.2544105,None,0.0037604244,None,None,1.0
780000,1.2529899,None,0.0033238495,None,None,1.0
790000,1.2504231,None,0.002559441,None,None,1.0
800000,1.2472259,None,0.003549961,None,None,1.0
