Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,78.864,-2.0786002,-0.9193548387096774,-0.9193548387096774,1.0
20000,1.4165097,90.86915887850468,-1.2356477,-0.9444444444444444,-0.9444444444444444,1.0
30000,1.4135692,87.62135922330097,-0.6463969,-0.941747572815534,-0.941747572815534,1.0
40000,1.4111441,97.13461538461539,-0.3814201,-0.9519230769230769,-0.9519230769230769,1.0
50000,1.409073,110.38636363636364,-0.42311525,-0.9318181818181818,-0.9318181818181818,1.0
60000,1.4070731,116.32,-0.4452474,-0.9466666666666667,-0.9466666666666667,1.0
70000,1.4046937,175.83783783783784,-0.37690622,-0.972972972972973,-0.972972972972973,1.0
80000,1.4015472,373.53333333333336,-0.23883277,-0.8,-0.8,1.0
90000,1.3979635,595.2,-0.18651608,-0.6,-0.6,1.0
100000,1.394077,626.0,-0.10596948,0.0,0.0,1.0
110000,1.3894055,None,-0.076719105,None,None,1.0
120000,1.3843441,None,-0.06533837,None,None,1.0
130000,1.3799452,None,-0.04814651,None,None,1.0
140000,1.3754892,None,-0.0338918,None,None,1.0
150000,1.3708726,None,-0.01866723,None,None,1.0
160000,1.3657858,None,-0.014862916,None,None,1.0
170000,1.3601415,None,-0.0015323593,None,None,1.0
180000,1.3552321,None,0.0045602713,None,None,1.0
190000,1.3516259,None,0.012868708,None,None,1.0
200000,1.3475242,None,0.014141345,None,None,1.0
210000,1.3426226,None,-0.0030935179,None,None,1.0
220000,1.3389709,None,0.015425768,None,None,1.0
230000,1.3358729,None,0.01840919,None,None,1.0
240000,1.3314891,None,0.018446425,None,None,1.0
250000,1.3260676,None,0.019383414,None,None,1.0
260000,1.3209189,None,0.01529402,None,None,1.0
270000,1.3167225,None,0.014551637,None,None,1.0
280000,1.3126185,13670.0,0.015909633,-1.0,-1.0,1.0
290000,1.3109847,None,0.008282128,None,None,1.0
300000,1.3085829,None,0.008327777,None,None,1.0
310000,1.304848,None,0.0067132725,None,None,1.0
320000,1.3001753,None,0.006363535,None,None,1.0
330000,1.2963014,None,0.009290502,None,None,1.0
340000,1.2920586,None,0.0075004688,None,None,1.0
350000,1.2870215,None,0.008468075,None,None,1.0
360000,1.2803142,None,0.007898479,None,None,1.0
370000,1.2772077,None,0.007927606,None,None,1.0
380000,1.2751719,None,0.008288262,None,None,1.0
390000,1.2718612,None,0.009452155,None,None,1.0
