Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
270000,1.4389035,-0.57884866,213.11111111111111,-2.3606273405348643,-2.3606273405348643,1.0
280000,1.4380895,-0.64420325,255.825,-2.806575367860944,-2.806575367860944,1.0
290000,1.4373906,-0.5405447,263.90625,-3.044692940276448,-3.044692940276448,1.0
300000,1.4350928,-0.587167,430.7037037037037,-4.689680960556938,-4.689680960556938,1.0
310000,1.4321339,-0.7416784,350.85185185185185,-2.670561559216704,-2.670561559216704,1.0
320000,1.430635,-0.72693974,320.09090909090907,-2.363205283514432,-2.363205283514432,1.0
330000,1.4294599,-0.49847412,326.62068965517244,-3.438464665307189,-3.438464665307189,1.0
340000,1.4275469,-0.3413479,365.77777777777777,-2.983533652106686,-2.983533652106686,1.0
350000,1.4260904,-0.33300912,399.0,-4.000180143641133,-4.000180143641133,1.0
360000,1.4266194,-0.46465638,263.05405405405406,-1.8956608640127637,-1.8956608640127637,1.0
370000,1.4272538,-0.83648574,431.9166666666667,-2.923891383398162,-2.923891383398162,1.0
380000,1.4266373,-0.8071903,466.2105263157895,-5.775792465457088,-5.775792465457088,1.0
390000,1.4269114,-0.38791484,548.85,-6.751126898280472,-6.751126898280472,1.0
400000,1.4276237,-0.3266486,368.22727272727275,-4.242573945593842,-4.242573945593842,1.0
410000,1.4275197,-0.37269887,457.34615384615387,-4.462297706367158,-4.462297706367158,1.0
420000,1.4274662,-0.48797807,513.6111111111111,-3.8479880093129597,-3.8479880093129597,1.0
430000,1.4260461,-0.7168112,455.6818181818182,-3.3041245837538638,-3.3041245837538638,1.0
440000,1.4257519,-0.43089,456.65,-6.34439832304854,-6.34439832304854,1.0
450000,1.4252137,-0.6355122,360.48,-3.2696951208304745,-3.2696951208304745,1.0
460000,1.4256853,-0.20542708,527.0869565217391,-4.195213185908257,-4.195213185908257,1.0
470000,1.4262938,-0.25290093,766.4615384615385,-11.296353434594213,-11.296353434594213,1.0
480000,1.4275141,-0.39496475,590.7647058823529,-6.058596186090894,-6.058596186090894,1.0
490000,1.4290707,-0.544276,690.5333333333333,-9.73234857401282,-9.73234857401282,1.0
500000,1.429325,-0.46850514,644.3333333333334,-8.415610015842594,-8.415610015842594,1.0
510000,1.4269391,-0.2658473,600.8,-7.97385526445305,-7.97385526445305,1.0
520000,1.4273388,-0.38518345,489.3333333333333,-3.432235145511099,-3.432235145511099,1.0
530000,1.4273484,-0.8447476,851.5,-9.81064632300604,-9.81064632300604,1.0
540000,1.4264446,-0.5412587,492.8,-6.295341243550501,-6.295341243550501,1.0
550000,1.4251624,-0.9103829,777.8571428571429,-9.793093929858449,-9.793093929858449,1.0
560000,1.4223486,-0.75086224,643.2,-6.448752930683258,-6.448752930683258,1.0
570000,1.4214139,0.12763596,942.8181818181819,-10.28586168804468,-10.28586168804468,1.0
580000,1.4233383,-0.49659634,467.29411764705884,-4.822051800630005,-4.822051800630005,1.0
590000,1.4248822,-0.85549873,752.6,-7.506089104263325,-7.506089104263325,1.0
600000,1.4251869,-0.30119917,404.25,-2.9629608631793567,-2.9629608631793567,1.0
