Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,88.38095238095238,0.79415834,-1.1643029012932227,-1.1643029012932227,1.0
20000,1.4184235,97.33653846153847,1.3268012,-1.1754285934425535,-1.1754285934425535,1.0
30000,1.4169427,96.11,1.4811373,-1.1605250197649002,-1.1605250197649002,1.0
40000,1.4167316,86.91452991452991,1.7113302,-1.1571581431178966,-1.1571581431178966,1.0
50000,1.4182748,66.26973684210526,2.1147542,-1.106726987581504,-1.106726987581504,1.0
60000,1.4186131,67.77931034482759,1.6134336,-1.0729655335689414,-1.0729655335689414,1.0
70000,1.4178797,62.810457516339866,1.957168,-1.0982843273215823,-1.0982843273215823,1.0
80000,1.4183149,69.02702702702703,1.472626,-1.0708277214419197,-1.0708277214419197,1.0
90000,1.4193169,61.65359477124183,1.2404292,-1.1153758305544947,-1.1153758305544947,1.0
100000,1.4195108,78.03968253968254,1.3613025,-1.139424617919657,-1.139424617919657,1.0
110000,1.419027,75.23134328358209,0.8678951,-1.0985821074069435,-1.0985821074069435,1.0
120000,1.4196817,80.21052631578948,0.5355873,-1.1215869808974472,-1.1215869808974472,1.0
130000,1.4211733,106.69620253164557,0.53384584,-1.2034747124284129,-1.2034747124284129,1.0
140000,1.4213475,162.01785714285714,0.4472716,-1.1550803906284273,-1.1550803906284273,1.0
150000,1.4200913,189.75510204081633,0.32557395,-1.1684082033378738,-1.1684082033378738,1.0
160000,1.41818,267.10526315789474,0.2911553,-1.2206184769931592,-1.2206184769931592,1.0
170000,1.415946,292.97058823529414,0.28586105,-1.2623824123293161,-1.2623824123293161,1.0
180000,1.414597,315.2142857142857,0.1555508,-1.2528393412274974,-1.2528393412274974,1.0
190000,1.4129881,368.14285714285717,0.16836375,-1.2068215040490031,-1.2068215040490031,1.0
200000,1.4101136,481.09090909090907,0.042807598,-1.0218409933149815,-1.0218409933149815,1.0
210000,1.407058,527.6428571428571,0.022903712,-1.2489643833999122,-1.2489643833999122,1.0
220000,1.4038311,499.1363636363636,-0.11588005,-1.2942728107287125,-1.2942728107287125,1.0
230000,1.4012208,508.3809523809524,-0.025406307,-1.0605750923976303,-1.0605750923976303,1.0
240000,1.3997813,557.9473684210526,-0.15621503,-0.9513001037761569,-0.9513001037761569,1.0
250000,1.3973701,599.0,-0.030251471,-1.0989334471523762,-1.0989334471523762,1.0
260000,1.3948957,577.5333333333333,-0.10323777,-1.0735938549041748,-1.0735938549041748,1.0
270000,1.3923414,573.3125,-0.15291625,-1.3099375960882753,-1.3099375960882753,1.0
280000,1.3896768,599.0,-0.117942795,-1.0546389917532604,-1.0546389917532604,1.0
290000,1.387805,599.0,-0.08831834,-0.999111234727833,-0.999111234727833,1.0
