Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1060000,1.3427459,0.2201844,None,None,None,1.0
1070000,1.3402088,0.20210597,None,None,None,1.0
1080000,1.3381212,0.18234046,None,None,None,1.0
1090000,1.3371079,0.17149003,None,None,None,1.0
1100000,1.3357786,0.1664169,None,None,None,1.0
1110000,1.3340054,0.1957947,None,None,None,1.0
1120000,1.3329693,0.21528232,None,None,None,1.0
1130000,1.3316493,0.20620593,None,None,None,1.0
1140000,1.3308003,0.1904607,None,None,None,1.0
1150000,1.3297333,0.16903956,None,None,None,1.0
1160000,1.3286917,0.16085906,None,None,None,1.0
1170000,1.327962,0.1565617,None,None,None,1.0
1180000,1.3272305,0.14691332,None,None,None,1.0
1190000,1.3258618,0.12984318,None,None,None,1.0
1200000,1.3239508,0.111326374,None,None,None,1.0
1210000,1.3229837,0.10055598,None,None,None,1.0
1220000,1.3229464,0.09095257,None,None,None,1.0
1230000,1.3223855,0.07485539,None,None,None,1.0
1240000,1.3215679,0.06633882,None,None,None,1.0
1250000,1.3208663,0.0576558,None,None,None,1.0
1260000,1.3196955,0.057270575,None,None,None,1.0
1270000,1.3189458,0.052357838,None,None,None,1.0
1280000,1.3186644,0.049201716,None,None,None,1.0
1290000,1.3171421,0.04596239,None,None,None,1.0
1300000,1.3150494,0.040819075,None,None,None,1.0
1310000,1.3141276,0.037286684,None,None,None,1.0
1320000,1.3133883,0.033374507,None,None,None,1.0
1330000,1.3113537,0.028800301,None,None,None,1.0
1340000,1.309485,0.02518879,None,None,None,1.0
1350000,1.3079509,0.015499096,None,None,None,1.0
1360000,1.3051736,0.01640499,None,None,None,1.0
1370000,1.3032124,0.01817587,None,None,None,1.0
1380000,1.3016462,0.018953443,None,None,None,1.0
1390000,1.2995665,0.013716661,None,None,None,1.0
1400000,1.2972764,0.012163581,None,None,None,1.0
1410000,1.2954448,0.010658988,None,None,None,1.0
1420000,1.2942005,0.010011297,None,None,None,1.0
1430000,1.2929361,0.011368136,None,None,None,1.0
1440000,1.2922164,0.011353119,None,None,None,1.0
1450000,1.2915939,0.009149327,None,None,None,1.0
1460000,1.2894303,0.007829013,None,None,None,1.0
1470000,1.2866322,0.009253558,None,None,None,1.0
1480000,1.2839092,0.008824083,None,None,None,1.0
1490000,1.2817676,0.008743795,None,None,None,1.0
1500000,1.2802405,0.012742304,None,None,None,1.0
1510000,1.2785145,0.012810669,None,None,None,1.0
1520000,1.2769078,0.013928878,None,None,None,1.0
1530000,1.2748559,0.012736111,None,None,None,1.0
1540000,1.2726322,0.010773465,None,None,None,1.0
1550000,1.2704333,0.013323393,None,None,None,1.0
1560000,1.2682717,0.01403186,None,None,None,1.0
1570000,1.266549,0.014764144,None,None,None,1.0
1580000,1.2651517,0.014610757,None,None,None,1.0
1590000,1.2634372,0.013116348,None,None,None,1.0
1600000,1.2613201,0.010852806,None,None,None,1.0
1610000,1.2595719,0.013167803,None,None,None,1.0
1620000,1.2576569,0.013235572,None,None,None,1.0
1630000,1.2555009,0.010545278,None,None,None,1.0
1640000,1.2542545,0.011017763,None,None,None,1.0
1650000,1.2517709,0.011602027,None,None,None,1.0
1660000,1.2499304,0.010613329,None,None,None,1.0
1670000,1.2489907,0.0050706384,None,None,None,1.0
1680000,1.2482435,0.0017059024,None,None,None,1.0
1690000,1.2474116,0.0010709278,None,None,None,1.0
1700000,1.2469105,0.0024725727,None,None,None,1.0
1710000,1.2449056,0.0012627024,None,None,None,1.0
1720000,1.2425236,-0.0004903161,None,None,None,1.0
1730000,1.2407439,-0.0021087532,None,None,None,1.0
1740000,1.2383221,-0.0011952288,None,None,None,1.0
1750000,1.2365956,-0.0010303495,None,None,None,1.0
1760000,1.2338643,-0.001704726,None,None,None,1.0
1770000,1.2313768,-0.0006927141,None,None,None,1.0
1780000,1.2290603,4.865647e-05,None,None,None,1.0
1790000,1.2274194,0.0019787839,None,None,None,1.0
1800000,1.2259004,0.0035441644,None,None,None,1.0
1810000,1.2242541,0.0042754635,None,None,None,1.0
1820000,1.2225709,0.004908088,None,None,None,1.0
1830000,1.2209784,0.005211084,None,None,None,1.0
1840000,1.2199419,0.003969276,None,None,None,1.0
1850000,1.2185413,0.003912668,None,None,None,1.0
1860000,1.2173865,0.0038399894,None,None,None,1.0
1870000,1.2163126,0.0028869044,None,None,None,1.0
1880000,1.21498,0.0035734405,None,None,None,1.0
1890000,1.213475,0.0034488477,None,None,None,1.0
1900000,1.211842,0.003109653,None,None,None,1.0
1910000,1.2099193,0.0026657763,None,None,None,1.0
1920000,1.207764,0.0035160352,None,None,None,1.0
1930000,1.2057924,0.0035940744,None,None,None,1.0
1940000,1.2039582,0.0047114156,None,None,None,1.0
1950000,1.20227,0.0059388354,None,None,None,1.0
1960000,1.2007731,0.005838228,None,None,None,1.0
1970000,1.1991099,0.0046366085,None,None,None,1.0
1980000,1.1977655,0.0040761214,None,None,None,1.0
1990000,1.1965702,0.0031687934,None,None,None,1.0
2000000,1.1954885,0.0030021279,None,None,None,1.0
2010000,1.19428,0.0026657425,None,None,None,1.0
2020000,1.1933368,0.002731168,None,None,None,1.0
2030000,1.1918242,0.0026107968,None,None,None,1.0
2040000,1.189724,0.0015471397,None,None,None,1.0
2050000,1.1880916,-9.686261e-05,None,None,None,1.0
2060000,1.1867065,0.00012483078,None,None,None,1.0
2070000,1.1856179,-0.00096904783,None,None,None,1.0
2080000,1.1843482,-0.0020325466,None,None,None,1.0
2090000,1.1827657,-0.0021188285,None,None,None,1.0
2100000,1.181958,-0.0015525392,None,None,None,1.0
2110000,1.1808294,-0.0013386036,None,None,None,1.0
2120000,1.179646,-0.0010763733,None,None,None,1.0
